hanzi,pinyin,definition,frequency,HSKlevel,state
跃,yuè,"skip, jump, frolic",1516,5,0
尸,shī,corpse; to impersonate the dead; to preside; KangXi radical 44,1517,6,0
肃,sù,pay respects; reverently,1518,5,1
帕,pà,"turban, kerchief, veil; wrap",1519,,0
驶,shǐ,"sail, drive, pilot; fast, quick",1520,5,0
堡,bǎo,"fort, fortress; town, village",1521,6,1
届,jiè,"numerary adjunct for time, term",1522,5,0
欣,xīn,"happy, joyous, delighted",1523,5,0
惠,huì,"favor, benefit, confer kindness",1524,5,0
册,cè,"book, volume, register, list",1525,5,1
储,chǔ,"save money, store, reserve; heir",1526,6,0
飘,piāo,"whirlwind, cyclone; floating",1527,5,0
桑,sāng,mulberry tree; surname,1528,6,0
闲,xián,"fence, guard; defend; idle time",1529,5,1
惨,cǎn,"sad, pitiful, wretched; cruel",1530,6,0
洁,jié,"clean, purify, pure",1531,6,0
踪,zōng,"footprints, traces, tracks",1532,6,0
勃,bó,"suddenly, sudden, quick",1533,6,0
宾,bīn,"guest, visitor; surname; submit",1534,2,2
频,pín,"frequently, again and again",1535,5,0
仇,chóu,"enemy, hate, hatred, enmity",1536,6,0
磨,mó,grind; polish; rub; wear out; a millstone,1537,6,0
递,dì,"hand over, deliver; substitute",1538,5,1
邪,xié,"wrong, evil, depraved, vicious, perverse, heterodox",1539,,0
撞,zhuàng,"knock against, bump into, collide",1540,5,1
拟,nǐ,"draft; intend, plan, propose",1541,6,0
滚,gǔn,turn,1542,5,0
奏,zòu,memorialize emperor; report,1543,6,0
巡,xún,"patrol, go on circuit, cruise",1544,6,0
颜,yán,"face, facial appearance",1545,2,2
剂,jì,medicinal preparation,1546,6,0
绩,jī,spin; achievements,1547,3,2
贡,gòng,"offer tribute; tribute, gifts",1548,5,0
疯,fēng,"crazy, insane, mentally ill",1549,5,2
坡,pō,"slope, bank, hillside",1550,6,0
瞧,qiáo,"glance at, look at, see",1551,5,0
截,jié,"cut off, stop, obstruct, intersect",1552,6,0
燃,rán,"burn; light fire, ignite",1553,5,0
焦,jiāo,"burned, scorched; anxious, vexed",1554,6,1
殿,diàn,hall; palace; temple,1555,6,0
伪,wěi,"false, counterfeit, bogus",1556,6,0
柳,liǔ,willow tree; pleasure,1557,,0
锁,suǒ,"lock, padlock; shackles, chains",1558,5,0
逼,bī,"compel, pressure, force; bother",1559,6,0
颇,pō,"lean one side; very, rather",1560,6,0
昏,hūn,"dusk, nightfall, twilight, dark",1561,6,1
劝,quàn,"recommend, advise, urge",1562,5,0
呈,chéng,"submit, show; appear; petition",1563,6,0
搜,sōu,"search, seek; investigate",1564,5,0
勤,qín,"industrious, diligent, attentive",1565,5,0
戒,jiè,"warn, caution, admonish",1566,5,0
驾,jià,"to drive, sail, fly; a cart, carriage",1567,5,1
漂,piào,"float, drift; tossed about",1568,1,2
饮,yǐn,drink; swallow; kind of drink,1569,3,2
曹,cáo,ministry officials; surname,1570,,0
朵,duǒ,cluster of flowers; earlobe,1571,3,2
仔,zǐ,"small thing, child; young animal",1572,4,2
柔,róu,"soft; gentle, pliant",1573,5,0
俩,liǎ,"two, pair",1574,4,2
孟,mèng,"first in series; great, eminent",1575,,0
腐,fǔ,"rot, decay, spoil; rotten",1576,5,0
幼,yòu,"infant, young child; immature",1577,5,0
践,jiàn,"trample, tread upon, walk on",1578,5,0
籍,jí,"record, register, list; census",1579,4,1
牧,mù,"tend cattle, shepherd",1580,6,0
凉,liáng,"cool, cold; disheartened",1581,4,2
牲,shēng,sacrificial animal; animal,1582,6,0
佳,jiā,"good, auspicious; beautiful; delightful",1583,6,0
娜,nà,"elegant, graceful, delicate",1584,,0
浓,nóng,"thick, strong, concentrated",1585,5,0
芳,fāng,fragrant; virtuous; beautiful,1586,,0
稿,gǎo,"draft, manuscript, rough copy",1587,6,0
竹,zhú,bamboo; flute; KangXi radical 118,1588,5,0
腹,fù,"stomach, belly, abdomen; inside",1589,6,0
跌,diē,"stumble, slip, fall down; stamp",1590,6,0
逻,luó,patrol; inspect; watch; patrol,1591,5,0
垂,chuí,"let down; suspend, hand; down",1592,6,0
遵,zūn,"obey, comply with, follow; honor",1593,5,0
脉,mài,"blood vessels, veins, arteries",1594,6,0
貌,mào,"countenance, appearance",1595,4,2
柏,bǎi,"cypress, cedar",1596,,0
狱,yù,"prison, jail; case; lawsuit",1597,6,0
猜,cāi,"guess, conjecture, suppose; feel",1598,4,2
怜,lián,"pity, sympathize",1599,4,2
惑,huò,"confuse, mislead, baffle; doubt",1600,6,0
陶,táo,"pottery, ceramics",1601,6,0
兽,shòu,"beast, animal; bestial",1602,6,0
帐,zhàng,"tent; screen, mosquito net",1603,6,0
饰,shì,"decorate, ornament, adorn",1604,5,0
贷,dài,lend; borrow; pardon,1605,5,0
昌,chāng,"light of sun; good, proper",1606,6,0
叙,xù,"express, state, relate, narrate",1607,5,0
躺,tǎng,"lie down, recline",1608,4,2
钢,gāng,"steel; hard, strong, tough",1609,4,1
沟,gōu,"ditch, drain, narrow waterway",1610,5,0
寄,jì,"send, transmit, mail; rely on",1611,4,2
扶,fú,"support, help; protect; hold on",1612,5,0
铺,pù,"shop, store; place sleep, bed",1613,6,0
邓,dèng,surname,1614,,0
寿,shòu,"old age, long life; lifespan",1615,5,0
惧,jù,"fear, be afraid of, dread",1616,6,0
询,xún,"inquire into, ask about; consult",1617,5,0
汤,tāng,"hot water; soup, gravy, broth",1618,4,2
盗,dào,"rob, steal; thief, bandit",1619,6,0
肥,féi,"fat, plump, obese; fertile",1620,4,2
尝,cháng,"taste; experience, experiment",1621,4,2
匆,cōng,"hastily, in haste, hurriedly",1622,5,0
辉,huī,"brightness, luster, brilliance",1623,6,0
奈,nài,"but, how; bear, stand, endure",1624,5,0
扣,kòu,"knock, strike, rap, tap; button",1625,6,1
廷,tíng,court,1626,,1
澳,ào,"inlet, bay; dock, bank",1627,,1
嘛,ma,final exclamatory particle,1628,6,0
董,dǒng,"direct, supervise; surname",1629,6,0
迁,qiān,"move, shift, change; transfer; relocate a capital city",1630,6,0
凝,níng,coagulate; congeal; freeze,1631,6,0
慰,wèi,"comfort, console, calm",1632,5,0
厌,yàn,"dislike, detest, reject; satiate",1633,4,2
脏,zàng,"internal organs, viscera; dirty",1634,4,2
腾,téng,fly; gallop; run; prance; rise,1635,6,0
幽,yōu,"quiet, secluded, tranquil; dark",1636,4,1
怨,yuàn,"hatred, enmity, resentment",1637,5,0
鞋,xié,"shoes, footwear in general",1638,3,2
丢,diū,discard,1639,4,2
埋,mái,"bury, secrete, conceal",1640,6,0
泉,quán,"spring, fountain; wealth, money",1641,4,1
涌,yǒng,"surge up, bubble up, gush forth",1642,6,0
辖,xiá,linchpin of wheel; control,1643,6,0
躲,duǒ,"hide, secrete; avoid, escape",1644,5,0
晋,jìn,"advance, increase; promote",1645,6,0
紫,zǐ,"purple, violet; amethyst; surname",1646,5,1
艰,jiān,"difficult, hard; distressing",1647,5,0
魏,wèi,kingdom of Wei; surname,1648,,0
吾,wú,"i, my, our; resist, impede",1649,,0
慌,huāng,"nervous, panicky, frantic",1650,5,0
祝,zhù,pray for happiness or blessings,1651,4,2
邮,yóu,"postal, mail; post office",1652,3,2
吐,tǔ,"vomit, spew out, cough up",1653,5,0
狠,hěn,"vicious, cruel; severely, extreme",1654,6,0
鉴,jiàn,"mirror, looking glass; reflect",1655,6,0
曰,yuē,say; KangXi radical 73,1656,,0
械,xiè,"weapons; implements, instruments",1657,6,0
咬,yǎo,"bite, gnaw",1658,5,0
邻,lín,neighbor; neighborhood,1659,3,2
赤,chì,,1660,6,0
挤,jǐ,"crowd, squeeze, push against",1661,5,0
弯,wān,"bend, curve",1662,5,0
椅,yǐ,"chair, seat",1663,1,2
陪,péi,"accompany, be with, keep company",1664,4,2
割,gē,"cut, divide, partition; cede",1665,6,0
揭,jiē,"raise, lift up; surname",1666,6,0
韦,wéi,tanned leather; surname; simplified form of KangXi radical number 178,1667,,1
悟,wù,"to apprehend, realize, become aware",1668,6,0
聪,cōng,"intelligent, clever, bright",1669,3,2
雾,wù,"fog, mist, vapor, fine spray",1670,5,0
锋,fēng,"point of spear, sharp point",1671,6,0
梯,tī,"ladder, steps, stairs; lean",1672,3,2
猫,māo,cat,1673,1,2
祥,xiáng,"good luck, good omen; happiness",1674,6,0
阔,kuò,"broad, ample, wide; be apart",1675,6,0
誉,yù,"fame, reputation; praise",1676,6,0
筹,chóu,"chip, tally, token; raise money",1677,6,0
丛,cóng,"bush, shrub; thicket; collection",1678,6,0
牵,qiān,"drag, pull, lead by hand",1679,6,0
鸣,míng,cry of bird or animal; make sound,1680,6,0
沈,chén,"sink, submerge; addicted to; surname",1681,,0
阁,gé,"chamber, pavilion; cabinet",1682,,0
穆,mù,"majestic, solemn, reverent; calm",1683,,0
屈,qū,"bend, flex; bent, crooked; crouch",1684,5,0
旨,zhǐ,"purpose, aim; excellent",1685,6,0
袖,xiù,sleeve; put something in sleeve,1686,6,0
猎,liè,hunt; field sports,1687,6,0
臂,bì,arm,1688,6,0
蛇,shé,snake,1689,5,0
贺,hè,congratulate; send present,1690,4,2
柱,zhù,"pillar, post; support; lean on",1691,6,0
抛,pāo,throw (away),1692,6,0
鼠,shǔ,"rat, mouse; KangXi radical 208",1693,5,0
瑟,sè,"large stringed musical instrument; dignified, massive; sound of wind",1694,,0
戈,gē,"halberd, spear, lance; rad. 62",1695,,1
牢,láo,"prison; stable, pen; secure",1696,6,0
逊,xùn,"humble, modest; yield",1697,6,0
迈,mài,take a big stride; pass by,1698,6,0
欺,qī,"cheat, double-cross, deceive",1699,6,0
吨,dūn,"metric ton; (Cant.) to babble, gibberish",1700,5,0
琴,qín,Chinese lute or guitar,1701,4,1
衰,shuāi,"decline, falter, decrease; weaken",1702,6,0
瓶,píng,"jug, pitcher, vase, jar, bottle",1703,3,2
恼,nǎo,"angered, filled with hate",1704,4,1
燕,yàn,"swallow (bird); comfort, enjoy",1705,,0
仲,zhòng,"middle brother; go between, mediator; surname",1706,,0
诱,yòu,"persuade, entice, induce; guide",1707,6,0
狼,láng,wolf,1708,6,1
池,chí,"pool, pond; moat; cistern",1709,5,0
疼,téng,"aches, pains; be fond of; love",1710,3,2
卢,lú,"cottage, hut; surname; black",1711,,0
仗,zhàng,"rely upon; protector; fight; war, weaponry",1712,6,0
冠,guān,"cap, crown, headgear",1713,5,0
粒,lì,grain; small particle,1714,6,0
遥,yáo,"far away, distant, remote",1715,6,0
吕,lǚ,surname; a musical note,1716,,0
玄,xuán,"deep, profound, abstruse; KangXi radical 95",1717,,0
尘,chén,"dust, dirt, ashes, cinders",1718,5,0
冯,féng,surname; gallop; by dint of,1719,,0
抚,fǔ,"pat, console, comfort; pacify",1720,6,0
浅,qiǎn,"shallow, not deep; superficial",1721,5,1
敦,dūn,"esteem; honest, candid, sincere",1722,,0
纠,jiū,"investigate, inspect",1723,6,0
钻,zuān,"drill, bore; pierce; diamond",1724,6,0
晶,jīng,"crystal; clear, bright; radiant",1725,6,0
岂,qǐ,how? what?,1726,6,0
峡,xiá,"gorge, strait, ravine; isthmus",1727,6,0
苍,cāng,blue; green,1728,6,0
