hanzi,pinyin,definition,frequency,HSKlevel,state
厘,lí,thousandth part of tael,2262,5,0
愣,lèng,be in a daze,2263,6,0
厦,shà,"big building, mansion",2264,5,0
恳,kěn,"sincere, earnest, cordial",2265,5,0
饶,ráo,"bountiful, abundant, plentiful",2266,6,1
钉,dīng,"nail, spike; pursue closely",2267,6,0
寡,guǎ,"widowed; alone, friendless",2268,,0
憾,hàn,"to regret, remorse; dissatisfied",2269,5,0
摔,shuāi,"fall ground, stumble, trip",2270,5,0
叠,dié,pile; be piled up; fold up,2271,6,0
惹,rě,"irritate, vex, offend, incite",2272,6,0
喻,yù,"metaphor, analogy; example; like",2273,6,0
谱,pǔ,"list, table; musical score",2274,6,0
愧,kuì,"ashamed, conscience-stricken",2275,5,0
煌,huáng,"bright, shining, luminous",2276,6,0
徽,huī,"a badge, insignia",2277,,0
溶,róng,"to melt, dissolve; overflowing with",2278,6,0
坠,zhuì,"fall down, drop, sink, go to ruin",2279,6,0
煞,shā,"malignant deity; baleful, noxious; strike dead",2280,,0
巾,jīn,kerchief; towel; turban; KangXi radical number 50,2281,4,2
滥,làn,"flood, overflow; excessive",2282,6,0
洒,sǎ,sprinkle; scatter; pour; to wipe away; to shiver,2283,5,0
堵,dǔ,"wall; stop, prevent; stop up",2284,4,2
瓷,cí,"crockery, porcelain, chinaware",2285,6,0
咒,zhòu,"curse, damn, incantation",2286,,0
姨,yí,,2287,3,2
棒,bàng,"stick, club, truncheon; hit",2288,4,2
郡,jùn,administrative division,2289,,0
浴,yù,"bathe, wash; bath",2290,6,0
媚,mèi,"charming, attractive; flatter",2291,,0
稣,sū,"revive, to rise again; collect",2292,,0
淮,huái,river in Anhui province,2293,,0
哎,āi,interjection of surprise,2294,5,1
屁,pì,break wind; fart; buttocks,2295,6,1
漆,qī,"varnish, lacquer, paint",2296,6,0
淫,yín,"obscene, licentious, lewd",2297,,0
巢,cháo,"nest, living quarter in tree",2298,6,0
吩,fēn,"order, command, instruct",2299,6,0
撰,zhuàn,"compose, write, compile",2300,,0
啸,xiào,"roar, howl, scream; whistle",2301,6,0
滞,zhì,"block up, obstruct; stagnant",2302,6,0
玫,méi,rose,2303,,0
硕,shuò,"great, eminent; large, big",2304,4,2
钓,diào,"fish; fishhook; tempt, lure",2305,5,0
蝶,dié,butterfly,2306,5,0
膝,xī,knee,2307,6,0
姚,yáo,"handsome, elegant; surname",2308,,0
茂,mào,"thick, lush, dense; talented",2309,6,0
躯,qū,body,2310,,0
吏,lì,"government official, magistrate",2311,,0
猿,yuán,ape,2312,,0
寨,zhài,"stockade, stronghold, outpost; brothel",2313,,0
恕,shù,"forgive, excuse, show mercy",2314,6,0
渠,qú,"ditch, canal, channel, gutter",2315,6,0
戚,qī,relative; be related to; sad,2316,4,2
辰,chén,early morning; 5th terrestrial branch,2317,6,0
舶,bó,"large, ocean-going vessel",2318,6,0
颁,bān,"confer, bestow; publish, promulgate",2319,6,0
惶,huáng,"fearful, afraid, anxious, nervous",2320,,0
狐,hú,species of fox,2321,,0
讽,fěng,"recite, incant; satirize",2322,5,0
笨,bèn,"foolish, stupid, dull; awkward",2323,4,2
袍,páo,"long gown, robe, cloak",2324,6,0
嘲,cháo,"ridicule, deride, scorn, jeer at",2325,6,0
啡,fēi,morphine; coffee,2326,2,2
泼,pō,"pour, splash, water, sprinkle",2327,4,1
衔,xián,"bit; hold in mouth, bite; gag",2328,6,0
倦,juàn,"be tired of, weary",2329,6,0
涵,hán,"soak, wet; tolerate, be lenient",2330,6,0
雀,què,sparrow,2331,6,0
旬,xún,ten-day period; period of time,2332,5,0
僵,jiāng,"stiff and motionless, stock still",2333,6,0
撕,sī,"rip, tear; buy cloth",2334,5,0
肢,zhī,human limbs; animal feet,2335,6,0
垄,lǒng,"grave, mound; ridge in field",2336,6,0
夷,yí,ancient barbarian tribes,2337,,0
逸,yì,"flee, escape, break loose",2338,,0
茅,máo,"reeds, rushes, grass; surname",2339,,0
侨,qiáo,"sojourn, lodge",2340,6,0
舆,yú,"cart, palanquin, sedan chair",2341,6,0
窑,yáo,kiln; coal mine pit,2342,,0
涅,niè,"blacken; black mud, slime",2343,,0
蒲,pú,type of rush; vine,2344,,0
谦,qiān,"humble, modest",2345,5,0
杭,háng,cross stream; navigate,2346,,0
噢,ō,"moan; interjection for pain, sad",2347,,0
弊,bì,"evil, wrong, bad; criminal",2348,6,0
勋,xūn,meritorious deed; merits; rank,2349,,0
刮,guā,"shave, pare off, scrape",2350,3,2
郊,jiāo,"suburbs; waste land, open spaces",2351,4,2
凄,qī,"bitter cold, miserable, dreary",2352,6,0
捧,pěng,hold up in two hands,2353,6,0
浸,jìn,"soak, immerse, dip, percolate",2354,6,0
砖,zhuān,"tile, brick",2355,6,0
鼎,dǐng,"large, three-legged bronze caldron",2356,,0
篮,lán,basket,2357,2,2
蒸,zhēng,steam; evaporate,2358,6,0
饼,bǐng,"rice-cakes, biscuits",2359,4,2
亩,mǔ,Chinese land measure; fields,2360,,0
肾,shèn,"kidneys; testes, gizzard",2361,,0
陡,dǒu,"steep, sloping; abruptly, sudden",2362,6,0
爪,zhǎo,"claw, nail, talon; animal feet",2363,,0
兔,tù,"rabbit, hare",2364,5,1
殷,yīn,"many, great; abundant, flourishing",2365,,0
贞,zhēn,"virtuous, chaste, pure; loyal",2366,,0
荐,jiàn,"repeat, reoccur; recommend",2367,5,1
哑,yǎ,"dumb, mute; become hoarse",2368,6,0
炭,tàn,charcoal; coal; carbon,2369,5,0
坟,fén,"grave, mound; bulge; bulging",2370,6,0
眨,zhǎ,wink,2371,6,0
搏,bó,seize; spring upon; strike,2372,6,0
咳,hāi,cough,2373,4,2
拢,lǒng,"collect, bring together",2374,6,0
舅,jiù,,2375,5,0
昧,mèi,"obscure, dark; darken",2376,6,0
擅,shàn,monopolize; claim; arbitrarily; to dare,2377,6,0
爽,shuǎng,"happy, cheerful; refreshing",2378,6,0
咖,kā,coffee; a phonetic,2379,2,2
搁,gē,"place, put, lay down; delay",2380,6,0
禄,lù,"blessing, happiness, prosperity",2381,,0
雌,cí,"female; feminine; gentle, soft",2382,6,0
哨,shào,"whistle, blow whistle; chirp",2383,6,0
巩,gǒng,"bind; firm, secure, strong",2384,6,0
绢,juàn,kind of thick stiff silk,2385,,0
螺,luó,spiral shell; conch; spiral,2386,,0
裹,guǒ,"wrap, bind; encircle, confine",2387,5,1
昔,xī,formerly; ancient; in beginning,2388,6,0
轩,xuān,carriage; high; wide; balcony,2389,,0
谬,miù,"error, exaggeration; erroneous",2390,6,0
谍,dié,an intelligence report; to spy; spying,2391,6,0
龟,guī,turtle or tortoise; cuckold,2392,,1
媳,xí,daughter-in-law,2393,6,0
姜,jiāng,surname; ginger,2394,,0
瞎,xiā,"blind, reckless; rash",2395,5,0
冤,yuān,"grievance, injustice, wrong",2396,6,0
鸦,yā,crow; Corvus species (various),2397,6,0
蓬,péng,type of raspberry; fairyland,2398,6,0
巷,xiàng,"alley, lane",2399,6,0
琳,lín,"beautiful jade, gem",2400,,0
栽,zāi,"to cultivate, plant; to care for plants",2401,6,0
沾,zhān,"moisten, wet, soak; touch",2402,6,0
诈,zhà,"cheat, defraud, swindle; trick",2403,6,0
斋,zhāi,vegetarian diet; study,2404,,0
瞒,mán,"deceive, lie; eyes half-closed",2405,6,1
彪,biāo,tiger; tiger stripes; tiger-like,2406,,0
厄,è,"adversity, difficulty, distress",2407,,0
咨,zī,"inquire, consult, discuss; plan",2408,5,0
纺,fǎng,"spin, reel, weave; reeled pongee",2409,6,0
罐,guàn,"jar, jug, pitcher, pot",2410,6,0
桶,tǒng,"pail, bucket, tub; cask, keg",2411,4,1
壤,rǎng,"soil, loam, earth; rich",2412,6,0
糕,gāo,"cakes, pastry",2413,3,2
颂,sòng,"laud, acclaim; hymn; ode",2414,6,0
膨,péng,"to swell; swollen, bloated, inflated",2415,6,0
谐,xié,"harmonize, agree; joke, jest",2416,6,0
垒,lěi,"rampart, military wall",2417,,0
咕,gū,"mumble, mutter, murmur; rumble",2418,,0
隙,xì,"crack, split, fissure; grudge",2419,6,0
辣,là,"peppery, pungent, hot; cruel",2420,4,1
绑,bǎng,"bind, tie, fasten",2421,6,0
宠,chǒng,"favorite, concubine; favor",2422,5,0
嘿,hēi,"be silent, be quiet",2423,6,0
兑,duì,cash; exchange,2424,5,1
霉,méi,"mildew, mold; moldy, mildewed",2425,5,0
挫,cuò,push down; chop down; grind,2426,6,0
稽,jī,"examine, investigate; delay",2427,,0
辐,fú,spokes of wheel,2428,6,0
乞,qǐ,beg; request,2429,6,0
纱,shā,"gauze, thin silk; yarn, thread",2430,,0
裙,qún,"skirt, apron, petticoat",2431,3,2
嘻,xī,"mirthful, happy; interjection",2432,,0
哇,wa,vomit; cry of an infant,2433,6,0
绣,xiù,embroider; embroidery; ornament,2434,6,0
杖,zhàng,"cane, walking stick",2435,6,0
塘,táng,"pond; tank; dike, embankment",2436,5,0
衍,yǎn,"overflow, spill over, spread out",2437,6,0
轴,zhóu,"axle, axletree; pivot; axis",2438,,0
攀,pān,climb; pull; hang on to,2439,6,0
膊,bó,"shoulders, upper arms",2440,4,2
譬,pì,"metaphor, simile, example",2441,6,0
斌,bīn,"refined, having both appearance",2442,,0
祈,qí,"pray; entreat, beseech",2443,,0
踢,tī,kick,2444,2,2
肆,sì,"indulge; excess; numeral four; particle meaning now, therefore; shop",2445,6,0
坎,kǎn,"pit, hole; snare, trap; crisis",2446,,0
轿,jiào,"sedan-chair, palanquin",2447,,0
棚,péng,"tent, awning; booth; shed",2448,,0
泣,qì,"cry, sob, weep",2449,6,0
屡,lǚ,"frequently, often, again and again",2450,6,0
躁,zào,"tense, excited, irritable",2451,6,0
邱,qiū,surname; hill; mound; grave,2452,,0
凰,huáng,female phoenix,2453,,0
溢,yì,"overflow, brim over; full",2454,,0
椎,chuí,"hammer, mallet; vertebra",2455,6,0
砸,zá,"smash, crush, break; pound, mash",2456,6,0
趟,tàng,"time, occasion; take journey",2457,4,2
帘,lián,flag-sign of a tavern,2458,5,0
帆,fān,sail; boat,2459,6,0
栖,qī,perch; roost; stay,2460,,0
窜,cuàn,"run away; revise, edit; expel",2461,6,0
丸,wán,"small round object; pellet, pill",2462,6,1
斩,zhǎn,"cut, chop, sever; behead",2463,6,0
堤,dī,dike,2464,6,0
塌,tā,"fall in ruins, collapse",2465,6,0
贩,fàn,"peddler, hawker, street merchant",2466,6,0
厢,xiāng,"side-room, wing; theatre box",2467,5,0
掀,xiān,"lift, raise; stir",2468,6,0
喀,kā,vomit; used in transliterations,2469,,0
乖,guāi,"rebel; crafty, shrewd",2470,5,0
谜,mí,"riddle, conundrum; puzzle",2471,6,0
捏,niē,pick with fingers; knead; mold,2472,6,1
阎,yán,village gate; surname,2473,,0
滨,bīn,"beach, sea coast; river bank",2474,6,2
虏,lǔ,"to capture, imprison, seize; a prison",2475,6,0
匙,shi,spoon; surname,2476,4,1
芦,lú,"rushes, reeds",2477,,0
苹,píng,artemisia; duckweed; apple,2478,1,2
卸,xiè,lay down; retire from office,2479,6,0
沼,zhǎo,"lake, fishpond, swamps",2480,6,0
钥,yào,key; lock,2481,4,1
株,zhū,numerary adjunct for trees; root,2482,6,0
祷,dǎo,"pray; entreat, beg, plead; prayer",2483,,0
剖,pōu,"split in two, slice; dissect",2484,6,0
熙,xī,"bright, splendid, glorious",2485,,0
哗,huā,rushing sound; gush forward,2486,6,0
劈,pī,"cut apart, split, chop",2487,6,0
怯,qiè,"lacking in courage, afraid",2488,6,0
棠,táng,crab apple tree; wild plums,2489,,0
胳,gē,"armpit, arms",2490,4,1
桩,zhuāng,"stake, post; affair, matter",2491,,0
瑰,guī,"extraordinary, fabulous; rose",2492,,0
娱,yú,"pleasure, enjoyment, amusement",2493,5,1
娶,qǔ,"marry, take wife",2494,5,1
沫,mò,"froth, foam, bubbles, suds",2495,6,0
嗓,sǎng,voice; throat,2496,5,0
蹲,dūn,"squat, crouch; idle about",2497,5,1
焚,fén,burn,2498,,0
淘,táo,wash in sieve; weed out,2499,5,0
嫩,nèn,"soft, tender, delicate; young",2500,5,0
韵,yùn,rhyme; vowel,2501,,0
衬,chèn,underwear; inner garments,2502,3,2
匈,xiōng,,2503,,0
钧,jūn,unit of measure equivalent to thirty catties,2504,,0
竖,shù,"perpendicular, vertical; erect",2505,6,0
峻,jùn,"high, steep, towering; stern",2506,6,0
豹,bào,"leopard, panther; surname",2507,,0
捞,lāo,"scoop out of water; dredge, fish",2508,6,0
菊,jú,chrysanthemum,2509,,0
鄙,bǐ,mean; low,2510,6,0
魄,pò,vigor; body; dark part of moon,2511,6,0
兜,dōu,pouch,2512,6,0
哄,hōng,"coax; beguile, cheat, deceive",2513,6,0
颖,yǐng,rice tassel; sharp point; clever,2514,6,0
镑,bàng,pound sterling,2515,,0
屑,xiè,"bits, scraps, crumbs, fragments",2516,6,0
蚁,yǐ,ants,2517,6,0
壶,hú,"jar, pot, jug, vase; surname",2518,5,0
怡,yí,"harmony; pleasure, joy; be glad",2519,,0
渗,shèn,"soak through, infiltrate",2520,6,0
秃,tū,bald,2521,6,0
迦,jiā,character for transliteration,2522,,0
旱,hàn,drought; dry; dry land,2523,6,0
哟,yō,"ah, final particle",2524,,0
咸,xián,"together; all, completely; united",2525,4,2
焉,yān,"thereupon, then; how? why? where?",2526,,0
谴,qiǎn,"reprimand, scold, abuse",2527,6,0
宛,wǎn,"seem, as if, crooked",2528,,0
稻,dào,"rice growing in field, rice plant",2529,6,0
铸,zhù,"melt, cast; coin, mint",2530,6,0
锻,duàn,"forge metal; temper, refine",2531,3,2
伽,jiā,,2532,,0
詹,zhān,"surname; talk too much, verbose",2533,,0
毙,bì,kill; die violent death,2534,,0
恍,huǎng,seemingly; absent-minded,2535,6,0
贬,biǎn,"decrease, lower; censure, criticize",2536,6,0
烛,zhú,"candle, taper; shine, illuminate",2537,6,0
骇,hài,"terrify, frighten, scare; shock",2538,,0
芯,xīn,pith from rush (juncus effusus),2539,,0
汁,zhī,"juice, liquor, fluid, sap, gravy, sauce",2540,4,2
桓,huán,variety of tree; surname,2541,,0
坊,fāng,,2542,,0
驴,lǘ,"donkey, ass",2543,,0
朽,xiǔ,"decayed, rotten; rot, decay",2544,6,0
靖,jìng,"pacify; appease; calm, peaceful",2545,,0
佣,yōng,commission fee,2546,6,0
汝,rǔ,you,2547,,0
碌,lù,"rough, uneven, rocky; mediocre",2548,6,0
迄,qì,"extend, reach; until; till",2549,6,0
冀,jì,hope for; wish; Hebei province,2550,,0
荆,jīng,thorns; brambles; my wife; cane,2551,,0
崔,cuī,"high, lofty, towering; surname",2552,,0
雁,yàn,wild goose,2553,,0
绅,shēn,"girdle; tie, bind; gentry",2554,6,0
珊,shān,coral,2555,,0
榜,bǎng,placard; list of successful exam candidates,2556,6,0
诵,sòng,"recite, chant, repeat",2557,6,0
傍,bàng,"by side of, beside, near, close",2558,5,0
彦,yàn,elegant,2559,,0
醇,chún,"rich, good as wine; pure, unmixed",2560,,0
笛,dí,bamboo flute; whistle,2561,,0
禽,qín,"birds, fowl; surname;; capture",2562,6,0
勿,wù,"must not, do not; without, never",2563,5,1
娟,juān,"beautiful, graceful",2564,,0
瞄,miáo,take aim at; look at,2565,6,0
幢,chuáng,carriage curtain; sun screen,2566,6,0
寇,kòu,"bandits, thieves; enemy; invade",2567,,0
睹,dǔ,"look at, gaze at; observe",2568,6,0
贿,huì,"bribe; bribes; riches, wealth",2569,6,0
踩,cǎi,step on,2570,5,0
霆,tíng,a sudden peal of thunder,2571,,0
呜,wū,"sound of crying, sobbing",2572,,0
拱,gǒng,"fold hands on breast; bow, salute",2573,,0
妃,fēi,"wife, spouse; imperial concubine",2574,,0
蔑,miè,"disdain, disregard; slight",2575,6,0
谕,yù,"proclaim, instruct; edict",2576,,0
缚,fù,to tie,2577,6,0
诡,guǐ,"deceive, cheat, defraud; sly",2578,,0
篷,péng,"awning, covering; sail; boat",2579,6,0
淹,yān,"drown; cover with liquid, steep",2580,6,0
腕,wàn,wrist,2581,,0
煮,zhǔ,cook,2582,5,1
倩,qiàn,"beautiful, lovely; son-in-law",2583,,0
卒,zú,"soldier; servant; at last, finally",2584,,0
勘,kān,investigate; compare; collate,2585,6,0
馨,xīn,"fragrant, aromatic; distant fragrance",2586,,0
逗,dòu,"tempt, allure, arouse, stir",2587,5,1
甸,diān,suburbs of capital; govern; crops,2588,,0
贱,jiàn,"mean, low; cheap, worthless",2589,,0
炒,chǎo,"fry, saute, roast, boil, cook",2590,5,2
灿,càn,"vivid, illuminating; bright",2591,6,0
敞,chǎng,"roomy, spacious, open, broad",2592,6,0
蜡,là,"wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to 䄍, meaning imperial harvest",2593,6,0
囚,qiú,"prisoner, convict; confine",2594,,0
栗,lì,"chestnut tree, chestnuts; surname",2595,,0
辜,gū,"crime, criminal offense",2596,6,0
垫,diàn,"advance money, pay for another",2597,6,0
妒,dù,"jealous, envious",2598,6,0
魁,kuí,chief; leader; best; monstrous,2599,,0
谣,yáo,"sing; folksong, ballad; rumor",2600,6,0
寞,mò,"silent, still, lonely, solitary",2601,5,0
蜀,shǔ,name of an ancient state,2602,,0
甩,shuǎi,"throw away, discard",2603,5,0
涯,yá,,2604,,0
枕,zhěn,pillow,2605,6,0
丐,gài,beggar; beg; give,2606,6,0
泳,yǒng,dive; swim,2607,2,2
奎,kuí,stride of man; one of the twenty-eight lunar mansions,2608,,0
泌,mì,"to seep out, excrete",2609,6,0
逾,yú,"go over, pass over, exceed",2610,,0
叮,dīng,exhort or enjoin repeatedly,2611,6,0
黛,dài,blacken eyebrows; black,2612,,0
燥,zào,"dry, parched, arid; quick-tempered",2613,5,1
掷,zhì,"throw, hurl, cast, fling",2614,6,0
藉,jí,"mat, pad; rely on; pretext",2615,,0
枢,shū,door hinge; pivot; center of power,2616,,0
憎,zēng,"hate, detest, abhor; hatred",2617,,0
鲸,jīng,whale,2618,,0
弘,hóng,"enlarge, expand; liberal, great",2619,,0
倚,yǐ,"rely on, depend on; lean heavily",2620,,0
侮,wǔ,"insult, ridicule, disgrace",2621,6,0
藩,fān,fence; boundary; outlying border,2622,,0
拂,fú,"shake off, brush away; dust",2623,,0
鹤,hè,crane; Grus species (various),2624,,0
蚀,shí,nibble away; erode; eclipse,2625,6,0
浆,jiāng,any thick fluid; starch; broth,2626,,0
芙,fú,hibiscus,2627,,0
垃,lā,"garbage, refuse, waste",2628,4,2
烤,kǎo,"bake, roast, toast, cook",2629,4,2
晒,shài,"dry in sun, expose to sun",2630,5,2
霜,shuāng,frost; crystallized; candied,2631,6,0
剿,jiǎo,"destroy, exterminate, annihilate",2632,,0
蕴,yùn,"to collect, gather, store; profound",2633,6,0
圾,jī,"garbage, rubbish; shaking; danger",2634,4,2
绸,chóu,"silk cloth, satin damask",2635,5,0
屿,yǔ,island,2636,5,0
氢,qīng,ammonia; hydrogen nitride,2637,,0
驼,tuó,a camel; humpbacked; to carry on the back,2638,,0
妆,zhuāng,"to adorn oneself, dress up, use make-up",2639,6,0
捆,kǔn,"tie up; bind, truss up; bundle",2640,6,0
铅,qiān,lead,2641,2,2
逛,guàng,"ramble, stroll, roam, wander",2642,4,2
淑,shū,"good, pure, virtuous, charming",2643,,0
榴,liú,pomegranate,2644,,0
丙,bǐng,third; 3rd heavenly stem,2645,6,0
痒,yǎng,itch,2646,5,1
钞,chāo,"paper money, bank notes; copy",2647,6,0
蹄,tí,hoof; leg of pork; little witch,2648,,0
犬,quǎn,dog; radical number 94,2649,6,1
躬,gōng,"body; personally, in person",2650,6,0
昼,zhòu,"daytime, daylight",2651,6,0
藻,zǎo,"splendid, magnificent; algae",2652,,0
蛛,zhū,spider,2653,,0
褐,hè,"coarse woolen cloth; dull, dark",2654,,0
颊,jiá,"cheeks, jaw",2655,,0
奠,diàn,pay respect; settle,2656,6,0
募,mù,"levy, raise; summon; recruit",2657,,0
耽,dān,indulge in; be negligent,2658,5,0
蹈,dǎo,stamp feet; dance,2659,6,0
陋,lòu,"narrow; crude, coarse; ugly",2660,6,0
侣,lǚ,companion; associate with,2661,6,0
魅,mèi,"kind of forest demon, elf",2662,5,0
岚,lán,"mountain mist, mountain haze",2663,,0
侄,zhí,nephew,2664,6,0
虐,nüè,"cruel, harsh, oppressive",2665,6,0
堕,duò,"fall, sink, let fall; degenerate",2666,6,0
陛,bì,steps leading throne; throne,2667,,0
莹,yíng,"luster of gems; bright, lustrous",2668,,0
荫,yīn,"shade, shelter; protect",2669,,0
狡,jiǎo,"cunning, deceitful, treacherous",2670,5,0
阀,fá,powerful and influential group,2671,,0
绞,jiǎo,"twist, wring; intertwine; winch",2672,,0
膏,gāo,"grease, fat; paste, ointment",2673,4,1
垮,kuǎ,"be defeated, fail, collapse",2674,,0
茎,jīng,"stem, stalk",2675,6,0
缅,miǎn,"distant, remote; think of",2676,,0
喇,lǎ,"horn, bugle; lama; final particle",2677,6,0
绒,róng,"silk, cotton, or woolen fabric",2678,6,0
搅,jiǎo,"disturb, agitate, stir up",2679,6,0
凳,dèng,bench; stool,2680,,0
梭,suō,shuttle,2681,,0
丫,yā,forked; bifurcation,2682,,0
姬,jī,beauty; imperial concubine,2683,,0
诏,zhào,"decree, proclaim; imperial decree",2684,,0
钮,niǔ,"button, knob; surname",2685,,0
棺,guān,coffin,2686,,0
耿,gěng,"bright, shining; have guts",2687,,0
缔,dì,"tie, join, connect; connection",2688,6,0
懈,xiè,"idle, relaxed, remiss",2689,,0
嫉,jí,jealousy; be jealous of,2690,6,0
灶,zào,"kitchen stove, cooking stove",2691,6,0
匀,yún,equal,2692,5,0
嗣,sì,"to connect, inherit; descendants, heirs",2693,,0
鸽,gē,"pigeon, dove; Columba species (various)",2694,6,0
澡,zǎo,"wash, bathe",2695,3,2
凿,záo,"chisel; bore, pierce",2696,,0
纬,wěi,woof; parallels of latitude,2697,6,0
沸,fèi,"boil, bubble up, gush",2698,6,1
畴,chóu,"farmland, arable land; category",2699,6,0
刃,rèn,"edged tool, cutlery, knife edge",2700,,0
遏,è,"stop, suppress, curb, check; a bar",2701,6,0
烁,shuò,"shine, glitter, sparkle",2702,6,0
嗅,xiù,"smell, scent, sniff; olfactive",2703,6,0
叭,bā,trumpet,2704,6,0
熬,áo,"cook down, to boil; endure",2705,5,0
瞥,piē,take fleeting glance at,2706,,0
骸,hái,"skeleton, body; leg bone",2707,,0
奢,shē,"extravagant, wasteful; exaggerate",2708,6,0
拙,zhuō,"stupid, clumsy, crude; convention",2709,6,0
栋,dòng,main beams supporting house,2710,6,0
毯,tǎn,"rug, carpet, blanket",2711,5,0
桐,tóng,name applied various trees,2712,,0
砂,shā,"sand; pebbles, gravel; gritty",2713,,0
莽,mǎng,"thicket, underbrush; poisonous",2714,,0
泻,xiè,"drain off, leak; flow, pour down",2715,6,0
坪,píng,level ground; Japanese measure,2716,,0
梳,shū,comb; brush,2717,5,0
杉,shān,various species of pine and fir,2718,,0
晤,wù,have interview with; meet,2719,6,0
稚,zhì,"young, immature; childhood",2720,6,0
蔬,shū,"vegetables, greens",2721,5,1
蝇,yíng,flies,2722,,0
捣,dǎo,"hull; thresh; beat, attack",2723,6,0
顷,qǐng,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean,2724,,0
麽,mó,"interrogative final particle; insignificant, small, tiny",2725,,0
尴,gān,embarrassed; ill at ease,2726,6,0
镖,biāo,"dart, spear, harpoon; escort",2727,,0
诧,chà,"be surprised, be shocked",2728,6,0
尬,gà,"limp, staggering gait; embarrass",2729,6,0
硫,liú,sulfur,2730,,0
嚼,jué,"prattle, be glib",2731,6,0
羡,xiàn,"envy, admire; praise; covet",2732,4,2
沦,lún,"be lost; sink, be submerged",2733,,0
沪,hù,Shanghai; river near Shanghai,2734,,1
旷,kuàng,"extensive, wide, broad; empty",2735,6,0
彬,bīn,"cultivated, well-bred",2736,,0
芽,yá,"bud, sprout, shoot",2737,6,0
狸,lí,fox,2738,,0
冥,míng,"dark, gloomy, night; deep",2739,,0
碳,tàn,carbon,2740,6,0
咧,liě,"stretch mouth, grimace, grin",2741,,0
惕,tì,"be cautious, careful, alert",2742,6,0
暑,shǔ,hot,2743,4,2
咯,gē,final particle,2744,,0
萝,luó,type of creeping plant; turnip,2745,,1
汹,xiōng,"turbulent; noisy, restless",2746,6,0
腥,xīng,"raw meat; rank, strong-smelling",2747,6,0
窥,kuī,"peep, watch, spy on, pry",2748,,0
俺,ǎn,"personal pronoun, I",2749,,0
潭,tán,"deep pool, lake; deep, profound",2750,,0
崎,qí,"rough, uneven, jagged, rugged",2751,,0
麟,lín,female of Chinese unicorn,2752,,0
捡,jiǎn,to pick up,2753,5,0
拯,zhěng,"help, save, aid; lift, raise",2754,,0
厥,jué,"personal pronoun he, she, it",2755,,0
澄,chéng,"purify water by allowing sediment to settle; clear, pure",2756,6,0
萎,wēi,"wither, wilt",2757,6,0
哉,zāi,final exclamatory particle,2758,,0
涡,wō,"swirl, whirlpool, eddy",2759,,0
滔,tāo,"overflow; rushing water, a torrent",2760,6,0
暇,xiá,"leisure, relaxation, spare time",2761,,0
溯,sù,"go upstream, go against current; formerly",2762,,0
鳞,lín,fish scales,2763,,0
酿,niàng,"brew, ferment",2764,6,0
茵,yīn,"a cushion, mattress; wormwood; Skimmia japon",2765,,0
愕,è,"startled, alarmed, astonished",2766,,0
瞅,chǒu,"see, look, gaze at",2767,,0
暮,mù,"evening, dusk, sunset; ending",2768,,0
衙,yá,public office; official residence,2769,,0
诫,jiè,"warn, admonish; warning",2770,6,0
斧,fǔ,"axe, hatchet; chop, hew",2771,,0
兮,xī,exclamatory particle,2772,,0
焕,huàn,shining,2773,,0
棕,zōng,hemp palm; palm tree,2774,6,0
佑,yòu,"help, protect, bless",2775,,0
嘶,sī,"neighing of a horse; gravel voiced, husky throated; (Cant.) to hiccough",2776,,0
妓,jì,prostitute,2777,,0
喧,xuān,"lively, noisy; clamor, talk loudly",2778,6,0
蓉,róng,"hibiscus; Chengdu, Sichuan",2779,,0
删,shān,to cut; delete,2780,5,0
樱,yīng,"cherry, cherry blossom",2781,,0
伺,cì,"serve, wait upon, attend; examine",2782,6,0
嗡,wēng,"sound of flying bees, airplanes",2783,,0
娥,é,be beautiful; good; surname,2784,,0
梢,shāo,pointed tip of something long like a branch; rudder,2785,6,0
坝,bà,embankment; dam,2786,6,0
蚕,cán,silkworms,2787,,0
敷,fū,"spread, diffuse; apply, paint",2788,6,0
澜,lán,"overflowing; waves, ripples",2789,,0
杏,xìng,apricot; almond,2790,,0
绥,suí,"soothe, appease, pacify",2791,,0
冶,yě,"smelt, fuse metals; cast, found",2792,,0
庇,bì,"cover, shield, shelter, protect",2793,6,0
挠,náo,"scratch; disturb, bother; submit",2794,6,0
搂,lǒu,"hug, embrace; drag, pull",2795,6,0
倏,shū,"hastily, suddenly, abruptly",2796,,0
聂,niè,whisper; surname,2797,,0
婉,wǎn,"amiable, congenial; restrained",2798,,0
噪,zào,be noisy; chirp loudly,2799,6,1
稼,jià,sow grain; sheaves of grain,2800,6,0
鳍,qí,fin,2801,,0
菱,líng,"water-chestnut, water caltrop",2802,,0
盏,zhǎn,small cup or container,2803,,0
匿,nì,hide; go into hiding,2804,,0
吱,zhī,"chirping, squeaking, hissing",2805,,0
寝,qǐn,"sleep, rest; bed chamber",2806,6,0
揽,lǎn,"grasp, take hold of; monopolize",2807,,0
髓,suǐ,"bone marrow; essences, substances",2808,,0
秉,bǐng,"grasp, hold; bundle; authority",2809,,0
哺,bǔ,chew food; feed,2810,6,0
矢,shǐ,"arrow, dart; vow, swear",2811,,1
啪,pā,syllable,2812,,0
帜,zhì,"flag, pennant; sign; fasten",2813,6,0
邵,shào,surname; various place names,2814,,0
